Day Index,Users,New Users
7/1/17,9,5
7/2/17,20,18
7/3/17,21,12
7/4/17,22,12
7/5/17,32,23
7/6/17,41,28
7/7/17,19,12
7/8/17,5,2
7/9/17,5,5
7/10/17,30,16
7/11/17,35,25
7/12/17,41,27
7/13/17,32,21
7/14/17,25,17
7/15/17,6,5
7/16/17,8,5
7/17/17,25,18
7/18/17,33,21
7/19/17,29,17
7/20/17,31,19
7/21/17,25,16
7/22/17,8,6
7/23/17,11,9
7/24/17,32,24
7/25/17,60,41
7/26/17,32,20
7/27/17,41,26
7/28/17,47,36
7/29/17,9,7
7/30/17,10,5
7/31/17,37,21
8/1/17,34,18
8/2/17,38,25
8/3/17,41,24
8/4/17,36,22
8/5/17,8,5
8/6/17,9,5
8/7/17,34,23
8/8/17,57,43
8/9/17,37,22
8/10/17,28,15
8/11/17,19,12
8/12/17,2,1
8/13/17,8,5
8/14/17,24,16
8/15/17,18,7
8/16/17,34,23
8/17/17,32,18
8/18/17,34,24
8/19/17,7,4
8/20/17,8,6
8/21/17,28,15
8/22/17,39,23
8/23/17,30,16
8/24/17,25,12
8/25/17,23,10
8/26/17,8,3
8/27/17,9,6
8/28/17,28,14
8/29/17,29,19
8/30/17,21,11
8/31/17,30,14
9/1/17,17,9
9/2/17,10,7
9/3/17,9,3
9/4/17,18,14
9/5/17,40,29
9/6/17,27,13
9/7/17,33,17
9/8/17,17,9
9/9/17,3,2
9/10/17,8,4
9/11/17,35,23
9/12/17,37,22
9/13/17,38,22
9/14/17,35,20
9/15/17,34,22
9/16/17,10,6
9/17/17,3,2
9/18/17,25,15
9/19/17,26,16
9/20/17,41,27
9/21/17,27,17
9/22/17,29,21
9/23/17,12,8
9/24/17,9,6
9/25/17,32,21
9/26/17,47,33
9/27/17,48,31
9/28/17,79,63
9/29/17,43,28
9/30/17,10,9
10/1/17,15,8
10/2/17,30,16
10/3/17,45,35
10/4/17,47,35
10/5/17,26,18
10/6/17,27,14
10/7/17,5,2
10/8/17,16,10
10/9/17,33,18
10/10/17,37,25
10/11/17,53,38
10/12/17,46,27
10/13/17,36,20
10/14/17,10,6
10/15/17,10,5
10/16/17,29,18
10/17/17,49,27
10/18/17,43,26
10/19/17,34,22
10/20/17,25,12
10/21/17,8,6
10/22/17,11,7
10/23/17,35,26
10/24/17,20,11
10/25/17,39,28
10/26/17,45,31
10/27/17,21,15
10/28/17,9,8
10/29/17,13,6
10/30/17,29,13
10/31/17,25,16
11/1/17,24,13
11/2/17,39,26
11/3/17,36,18
11/4/17,11,5
11/5/17,9,4
11/6/17,33,20
11/7/17,31,23
11/8/17,41,27
11/9/17,39,19
11/10/17,28,14
11/11/17,11,5
11/12/17,11,4
11/13/17,35,19
11/14/17,28,12
11/15/17,46,33
11/16/17,44,29
11/17/17,33,16
11/18/17,8,5
11/19/17,13,6
11/20/17,29,16
11/21/17,26,14
11/22/17,31,19
11/23/17,31,21
11/24/17,19,11
11/25/17,13,6
11/26/17,20,16
11/27/17,45,27
11/28/17,46,31
11/29/17,40,22
11/30/17,57,36
12/1/17,47,30
12/2/17,14,8
12/3/17,13,10
12/4/17,43,26
12/5/17,75,52
12/6/17,45,28
12/7/17,31,14
12/8/17,49,38
12/9/17,14,9
12/10/17,7,3
12/11/17,45,28
12/12/17,41,22
12/13/17,35,16
12/14/17,37,21
12/15/17,28,13
12/16/17,6,5
12/17/17,13,7
12/18/17,39,23
12/19/17,45,23
12/20/17,52,33
12/21/17,70,53
12/22/17,42,30
12/23/17,25,18
12/24/17,12,7
12/25/17,18,13
12/26/17,34,25
12/27/17,41,29
12/28/17,28,20
12/29/17,18,11
12/30/17,7,4
12/31/17,9,5
1/1/18,11,4
1/2/18,34,25
1/3/18,43,31
1/4/18,47,30
1/5/18,47,31
1/6/18,21,14
1/7/18,21,13
1/8/18,57,37
1/9/18,48,25
1/10/18,67,46
1/11/18,43,18
1/12/18,48,27
1/13/18,21,14
1/14/18,19,11
1/15/18,40,22
1/16/18,56,35
1/17/18,61,37
1/18/18,51,25
1/19/18,61,41
